Median Price 2009,Inflated Median Price 2009,Median Price 2019,Percent Change
"$314,650.00","$374,968.40","$533,600.00",42.31%
"$428,000.00","$510,047.60","$642,500.00",25.97%
"$423,550.00","$504,744.53","$621,850.00",23.20%
"$375,700.00","$447,721.69","$649,650.00",45.10%
"$257,050.00","$306,326.48","$513,600.00",67.66%
"$324,650.00","$386,885.40","$518,600.00",34.04%
"$433,600.00","$516,721.12","$694,350.00",34.38%
"$316,650.00","$377,351.80","$518,350.00",37.37%
"$382,900.00","$456,301.93","$636,100.00",39.40%
"$221,300.00","$263,723.21","$470,750.00",78.50%
"$212,650.00","$253,415.01","$464,900.00",83.45%
"$455,600.00","$542,938.52","$719,800.00",32.57%
"$595,750.00","$709,955.28","$873,700.00",23.06%
"$235,750.00","$280,943.28","$486,350.00",73.11%
"$582,600.00","$694,284.42","$1,121,900.00",61.59%
"$314,050.00","$374,253.39","$542,850.00",45.05%
"$259,800.00","$309,603.66","$506,650.00",63.64%
"$291,300.00","$347,142.21","$531,000.00",52.96%
"$224,400.00","$267,417.48","$464,850.00",73.83%
"$424,550.00","$505,936.23","$728,800.00",44.05%
"$314,950.00","$375,325.91","$527,900.00",40.65%
"$292,900.00","$349,048.93","$561,450.00",60.85%
"$408,300.00","$486,571.11","$651,650.00",33.93%
"$351,900.00","$419,359.23","$557,450.00",32.93%
"$383,800.00","$457,374.46","$620,100.00",35.58%
"$217,250.00","$258,896.82","$459,000.00",77.29%
"$260,400.00","$310,318.68","$571,300.00",84.10%
"$377,250.00","$449,568.83","$538,750.00",19.84%
"$416,150.00","$495,925.96","$670,900.00",35.28%
"$723,400.00","$862,075.78","$1,034,350.00",19.98%
"$529,950.00","$631,541.42","$890,100.00",40.94%
"$332,950.00","$396,776.52","$565,200.00",42.45%
"$198,850.00","$236,969.54","$454,150.00",91.65%
"$346,650.00","$413,102.80","$647,250.00",56.68%
"$358,850.00","$427,641.54","$601,350.00",40.62%
"$385,900.00","$459,877.03","$628,150.00",36.59%
"$351,300.00","$418,644.21","$597,100.00",42.63%
"$429,700.00","$512,073.49","$610,550.00",19.23%
"$341,100.00","$406,488.87","$572,700.00",40.89%
"$495,400.00","$590,368.18","$925,500.00",56.77%
"$398,650.00","$475,071.21","$595,050.00",25.25%
"$544,850.00","$649,297.74","$781,400.00",20.35%
"$297,250.00","$354,232.83","$343,950.00",-2.90%
"$197,900.00","$235,837.43","$347,850.00",47.50%
"$154,800.00","$184,475.16","$309,950.00",68.02%
"$318,000.00","$378,960.60","$449,400.00",18.59%
"$106,500.00","$126,916.05","$205,900.00",62.23%
"$118,000.00","$140,620.60","$274,350.00",95.10%
"$103,400.00","$123,221.78","$247,150.00",100.57%
"$58,400.00","$69,595.28","$143,500.00",106.19%
"$177,000.00","$210,930.90","$261,950.00",24.19%
"$288,100.00","$343,328.77","$357,000.00",3.98%
"$131,700.00","$156,946.89","$337,300.00",114.91%
"$128,650.00","$153,312.20","$221,100.00",44.22%
"$150,950.00","$179,887.11","$316,150.00",75.75%
"$155,250.00","$185,011.42","$343,000.00",85.39%
"$322,500.00","$384,323.25","$427,300.00",11.18%
"$309,850.00","$369,248.24","$482,850.00",30.77%
"$200,600.00","$239,055.02","$378,250.00",58.23%
"$103,950.00","$123,877.21","$247,550.00",99.83%
"$217,350.00","$259,015.99","$374,550.00",44.60%
"$87,550.00","$104,333.33","$284,600.00",172.78%
"$76,300.00","$90,926.71","$261,350.00",187.43%
"$153,800.00","$183,283.46","$374,000.00",104.06%
"$173,000.00","$206,164.10","$405,950.00",96.91%
"$226,400.00","$269,800.88","$448,300.00",66.16%
"$286,150.00","$341,004.96","$488,350.00",43.21%
"$145,200.00","$173,034.84","$355,150.00",105.25%
"$237,250.00","$282,730.83","$427,450.00",51.19%
"$234,900.00","$279,930.33","$439,250.00",56.91%
"$166,600.00","$198,537.22","$383,300.00",93.06%
"$120,250.00","$143,301.92","$255,500.00",78.29%
"$234,950.00","$279,989.91","$456,750.00",63.13%
"$255,750.00","$304,777.28","$468,500.00",53.72%
"$239,600.00","$285,531.32","$426,700.00",49.44%
"$491,450.00","$585,660.96","$775,850.00",32.47%
"$477,950.00","$569,573.02","$659,750.00",15.83%
"$603,350.00","$719,012.19","$944,450.00",31.35%
"$505,500.00","$602,404.35","$817,600.00",35.72%
"$371,100.00","$442,239.87","$669,500.00",51.39%
"$558,500.00","$665,564.45","$848,400.00",27.47%
"$369,450.00","$440,273.57","$566,900.00",28.76%
"$556,800.00","$663,538.56","$1,029,050.00",55.09%
"$667,150.00","$795,042.66","$906,600.00",14.03%
"$510,650.00","$608,541.60","$781,350.00",28.40%
"$636,950.00","$759,053.31","$919,400.00",21.12%
"$417,650.00","$497,713.51","$670,200.00",34.66%
"$361,250.00","$430,501.62","$596,800.00",38.63%
"$418,100.00","$498,249.77","$711,700.00",42.84%
"$465,250.00","$554,438.43","$659,700.00",18.99%
"$515,300.00","$614,083.01","$764,600.00",24.51%
"$343,300.00","$409,110.61","$643,650.00",57.33%
"$553,300.00","$659,367.61","$737,650.00",11.87%
"$289,300.00","$344,758.81","$517,450.00",50.09%
"$329,800.00","$393,022.66","$561,000.00",42.74%
"$322,650.00","$384,502.01","$575,350.00",49.64%
"$370,750.00","$441,822.77","$634,900.00",43.70%
"$455,200.00","$542,461.84","$687,150.00",26.67%
"$377,450.00","$449,807.16","$617,750.00",37.34%
"$294,550.00","$351,015.23","$560,700.00",59.74%
"$372,800.00","$444,265.76","$597,550.00",34.50%
"$333,950.00","$397,968.21","$584,800.00",46.95%
"$353,300.00","$421,027.61","$638,050.00",51.55%
"$342,950.00","$408,693.52","$566,150.00",38.53%
"$401,800.00","$478,825.06","$641,700.00",34.02%
"$452,000.00","$538,648.40","$724,800.00",34.56%
"$404,650.00","$482,221.40","$688,350.00",42.75%
"$352,000.00","$419,478.40","$562,750.00",34.15%
"$326,300.00","$388,851.71","$530,650.00",36.47%
"$281,950.00","$335,999.82","$483,100.00",43.78%
"$582,650.00","$694,344.01","$801,000.00",15.36%
"$357,350.00","$425,853.99","$550,050.00",29.16%
"$401,250.00","$478,169.62","$587,050.00",22.77%
"$419,700.00","$500,156.49","$622,600.00",24.48%
"$428,900.00","$511,120.13","$692,800.00",35.55%
"$312,900.00","$372,882.93","$531,950.00",42.66%
"$285,650.00","$340,409.10","$521,150.00",53.10%
"$231,500.00","$275,878.55","$387,050.00",40.30%
"$237,200.00","$282,671.24","$479,550.00",69.65%
"$377,350.00","$449,687.99","$568,900.00",26.51%
"$377,650.00","$450,045.51","$582,050.00",29.33%
"$127,900.00","$152,418.43","$224,100.00",47.03%
"$137,700.00","$164,097.09","$229,750.00",40.01%
"$143,600.00","$171,128.12","$243,150.00",42.09%
"$65,400.00","$77,937.18","$171,550.00",120.11%
"$102,300.00","$121,910.91","$218,900.00",79.56%
"$107,900.00","$128,584.43","$204,300.00",58.88%
"$108,800.00","$129,656.96","$215,100.00",65.90%
"$199,750.00","$238,042.07","$293,100.00",23.13%
"$198,600.00","$236,671.62","$293,550.00",24.03%
"$269,850.00","$321,580.24","$356,050.00",10.72%
"$463,500.00","$552,352.95","$681,250.00",23.34%
"$349,100.00","$416,022.47","$508,150.00",22.14%
"$341,050.00","$406,429.28","$608,450.00",49.71%
"$319,550.00","$380,807.73","$500,150.00",31.34%
"$57,200.00","$68,165.24","$151,950.00",122.91%
"$189,600.00","$225,946.32","$346,950.00",53.55%
"$95,050.00","$113,271.08","$278,750.00",146.09%
"$209,400.00","$249,541.98","$392,300.00",57.21%
"$179,750.00","$214,208.07","$284,000.00",32.58%
"$229,350.00","$273,316.40","$335,800.00",22.86%
"$132,500.00","$157,900.25","$239,800.00",51.87%
"$320,250.00","$381,641.92","$385,750.00",1.08%
"$135,700.00","$161,713.69","$244,750.00",51.35%
"$137,850.00","$164,275.85","$218,050.00",32.73%
"$71,500.00","$85,206.55","$178,600.00",109.61%
"$86,100.00","$102,605.37","$194,300.00",89.37%
"$168,950.00","$201,337.71","$260,950.00",29.61%
"$102,650.00","$122,328.01","$208,650.00",70.57%
"$284,100.00","$338,561.97","$598,400.00",76.75%
"$801,550.00","$955,207.14","$1,652,900.00",73.04%
"$1,450,300.00","$1,728,322.51","$2,981,050.00",72.48%
"$517,650.00","$616,883.51","$1,034,050.00",67.62%
"$695,700.00","$829,065.69","$1,489,750.00",79.69%
"$834,000.00","$993,877.80","$1,702,150.00",71.26%
"$473,950.00","$564,806.21","$967,450.00",71.29%
"$827,500.00","$986,131.75","$1,824,850.00",85.05%
"$886,100.00","$1,055,965.37","$1,849,100.00",75.11%
"$802,350.00","$956,160.49","$1,585,750.00",65.85%
"$457,350.00","$545,023.99","$901,450.00",65.40%
"$940,350.00","$1,120,615.09","$1,609,350.00",43.61%
"$679,500.00","$809,760.15","$1,342,250.00",65.76%
"$538,600.00","$641,849.62","$975,350.00",51.96%
"$880,450.00","$1,049,232.26","$1,336,100.00",27.34%
"$1,167,750.00","$1,391,607.68","$1,808,050.00",29.93%
"$363,050.00","$432,646.68","$617,250.00",42.67%
"$291,550.00","$347,440.14","$589,500.00",69.67%
"$533,300.00","$635,533.61","$778,200.00",22.45%
"$267,450.00","$318,720.16","$570,550.00",79.01%
"$537,750.00","$640,836.68","$901,150.00",40.62%
"$290,500.00","$346,188.85","$529,200.00",52.86%
"$421,500.00","$502,301.55","$941,600.00",87.46%
"$818,100.00","$974,929.77","$1,459,600.00",49.71%
"$239,450.00","$285,352.57","$633,400.00",121.97%
"$243,600.00","$290,298.12","$624,850.00",115.24%
"$245,550.00","$292,621.93","$674,850.00",130.62%
"$412,450.00","$491,516.66","$741,650.00",50.89%
"$316,750.00","$377,470.97","$551,500.00",46.10%
"$444,350.00","$529,531.90","$829,150.00",56.58%
"$337,300.00","$401,960.41","$851,850.00",111.92%
"$918,150.00","$1,094,159.35","$1,472,900.00",34.61%
"$286,000.00","$340,826.20","$571,200.00",67.59%
"$718,250.00","$855,938.53","$1,203,350.00",40.59%
"$448,800.00","$534,834.96","$868,500.00",62.39%
"$315,150.00","$375,564.26","$661,350.00",76.10%
"$311,650.00","$371,393.30","$657,150.00",76.94%
"$185,150.00","$220,643.26","$410,650.00",86.11%
